Name,Date of Birth,Place of Birth,Date of Death,Place of Death,Educational Instution Attended,Employer,Advisers/Mentors,Society/Trade Membership,Publications,Awards and Honorifics Received,Keywords:,Correspondents of Note: ,Writes a letter of recommendation for: ,Women who appear in the letters: ,Interesting finds,,,Confusions? 
Florence Barbara Seibert,,,,,,,,"1929 - Academy Fellow Institute of Medicine, Chicago; non-residet 1932,",,"Francis P. Garvan Medal, American Chemical Society, 1942",,Esmond R. Long - he seems to have been immensely supportive to both Sabin and Seibert. He and Seibert correspond for 30+ years,,"Dr. Nina Choucroun - she works at Cornell in 1942; assistant of Dr. Jean Perrin, Nobel Prize winner in Physics and head of Department of Physical Chemistry at the University of Paris. In the US she is working with Dr Alfred Boquet at the Pasteur Institute. She wins a Macy Fund to continue work in the US. Series I, Box I",,,,
Florence Barbara Seibert,,,,,,,,1933 - Society Experimental Biology and Medicine; Resigned 1963,,"National Women's Hall of Famie, 1990",,Lafayette B. Mendel - Seibert studied under him at Yale and he wrote LOR for her to go on for positions after graduate school,,"Phyllis Q. Edwards, Department of Health, Education and Welfare Division of Special Health Serivces, Tuberculosis Program, August 5, 1959. She is publishing an article with Dr. McDermott in the American Review of Respiratory Diseases. Edwards seems to know Lew Affronti and holds him as a mutual friend with Siebert. Series I, Box 3",,,,
Florence Barbara Seibert,,,,,,,,1939 - American Society Naturalists,,Gugenhem Fellow to study in Sweden in 1936 for $1800. She is able to get approved her car to be shipped over as she needs it given that she has polio.,,"Carroll E. Palmer, USPHS child hygeine passed assistant surgeon, he worked on TB ",,"Dr. Emily Emmart, Division of Chemotherapy, US Public Health Service, National Institute of Health, Bethesda. They collaborated togeter on NIH work in 1944-45 on ""cellular sensitization."" Series I, Box 3",,,,
Florence Barbara Seibert,,,,,,,,1941 - American Trudeau Society; Hon. 1944; Hon Eastern Section 1948,,honorary PhD from Goucher College,,Florence R. Sabin,,"Dr. Margaret Hotchkiss, Department of Bacteriology, University of Kentucky. Sibert wrote to her about the fellowship for Angelina Fabrizio",,,,
Florence Barbara Seibert,,,,,,,,"1944 - National Institute Sociological Science, resigned 1956",,honorary PhD from Lafayette College,,"Arne Tiselius, male scientist at Upsala ",,"Angelina Fabrizio, awarded a National Tuburculosis Association Research Fellowship at Phipps. Also, admitted to the University of Pennsylvania for her PhD studies. Series I, Box 3. Also, Series 5, Box 12",,,,
Florence Barbara Seibert,,,,,,,,"1946 - New York Academy of Science, Fellow",,"Gimbel Award Philadelphia, 1946",,"Dennis W. Watson, Department of Agricultural Bacteriology, University of Wisconsin",,"Edith Lincoln - Trudeau Medal recipient. Part of the National Tuberculosis Association. Series I, Box 4",,,,
Florence Barbara Seibert,,,,,,,,1952 - Certified American Board Clinical Chemist,,"John Scott Award, 1947",,"J. W. Williams, Department of Chemistry, University of Wisconsin",,"Dr. Jessie L. King, Goucher professor of science. Seibert writes a moving tribute to her after her death in 1956 and cites her as an influence in her life. ",,,,
Florence Barbara Seibert,,,,,,,,1962 - Hon. Member Amercian Association Blood Banks; Emeritus 1974,,"National Achievement Award, Chi Omega, 1944, given at the White House. Eleanor Roosevelt writes to Seibert saying that she is ""looking forward with so much pleasure"" to her receiving the award.",,,,"Dr Ruth E Gordon, Institute of Microbiology, Rutgers University, Series I, Box 3",,,,
Florence Barbara Seibert,,,,,,,,1967 - Hon. Member Florida TB and Respiratory Disease Association,,,,,,"Dr. Dorothy H. Heilman, Mayo Clinic, Rochester, Mn. Corresponds with Siebert about TB. A letter dated August 15, 1945 Heilman says ""It is necessary for me to quit my job here at the clinic and devote my time to being a housewife. It makes me feel very sad to think of some of the things I wanted to do in the laboratory."" In 1955, Heilman writes from Long Beach, CA from the Medical Research Division of the Veteran's Administration Hospital ""This is to send you greetings from the West, and to say that I am back in the laboratory again, doing tissue culture studies on immunity."" Here she is working under ""Dr. Carpenter in the department of Infectious Disesases at UCLA. Then, in 1959, she moves to Washington DC to the Veteran's Administrartion Hospital. In 1960 she writes to Seibert ""Your faith in me as a young researcher is one of the very nicest things that has happened to me as a laboratory worker."" Series I, Box 3",,,,
Florence Barbara Seibert,,,,,,,,1971 - Life Membership in American Association University Women; Endowed Fellowship 1963,,,,,,"Dr. Gladys Hobby, Pfizer & Co., Consultant on Preparation of PPD, Series 1, Box 3",,,,
Florence Barbara Seibert,,,,,,,,1973 - Hon. Life Member of American Lung Association,,,,,,"Dr. Rosette Coidan, tissue culturist at New York Medical College, mentioned in a letter by Irene Diller. ",,,,
Florence Barbara Seibert,,,,,,,,1950 - Pennsylvania Distinguished Daughter Award,,,,,,"Irene Corey Diller, PhD working at the Institute for Cancer Research in Philadelphia. She was also the editor-in-chief for GROWTH journal, along with Stanley P. Reimann, M.D. She writes very heart-felt letters to Siebert that mix news of her work and her personal life. One of my favorites: ""Each place has its beauty, and I have been most fortunate that so much of my life has fallen in such lovely environs. Such a lovely world, but man will not be satisfied until he succeeds in blowing it to bits."" (May 8, 1962). Another favorite: ""The human mind is a curious thing - something like an I.B.M. machine after all."" November 16, 1962. She works with her husband William (Bill) Diller. Series I, Box 2",,,,
Florence Barbara Seibert,,,,,,,,,,,,,,"Henrietta Lacks - her HeLa cell is discussed in 1964 letters -  ""Diller, Irene #2 1963-1964""",,,,
Florence Barbara Seibert,,,,,,,,,,,,,,"Virginia Livingston - supports Diller and Siebert in their findings/claims about the idea of ""bugs"" or ""germs"" in cancer cells.",,,,
Florence Barbara Seibert,,,,,,,,,,,,,,"Oksana Lycakowakuj - half time assistant in Siebert's lab. ""She and her husband escaped from Poland just before she was ready to take her final medical examination. Since then she has been doing mainly chemical research and was a most devoted and well thought of assistant on Dr. Connor's project..."" in a letter dated April 23, 1970.",,,,
Florence Barbara Seibert,,,,,,,,,,,,,,"Chinyere Wogu, a Fellow in Florida, she received her MD in Pediatrics from Howard University in 1971. Will return to Nigeria. Has dinner with Seibert. ",,,,
Florence Barbara Seibert,,,,,,,,,,,,,,"Lucia J. Dunham at Laboratory of Pathology, National Cancer Institute, writes a letter of introduction to Wilhelmina Dunning at the Cancer Research Laboratory in the University of Miami so Siebert can talk to her about vaccinations against tumors. She also puts her in touch with Thelma B. Dunn, MD for comments on a paper that Seibert is asking for. Series I, Box 2",,,,
Florence Barbara Seibert,,,,,,,,,,,,,,"Elizabeth Ehsleman Miller - biochemistry. Worked with Seibert 1952-55. See copied biography. In the preface of her dissertation she says that her work was done under the supervision of Seibert, who ""originated this problem and contributed to it greatly both in ideas and labor. The writer wishes to thank Dr. Seibert for her constant encouragement and advice and the other members working in the group, Eva Soto-Figueroa, Mabel V. Seibert, Lois Freay, Mildred Meekins, Mamie Cameron and Ute Busemann. Series I, Box 5",,,,
Florence Barbara Seibert,,,,,,,,,,,,,,"Libbie H. Hyman, attends the Great Congress of Intellect at University of Chicago the same time as Seibert. Hyman is writing on invertebrate zoology, a product of original research. Lily Bess Campbell (scholar of Elizabethean literature), while not a scientist, was the third woman to round out the ""50"" intellects. ",,,,
Florence Barbara Seibert,,,,,,,,,,,,,,"Cynthia Pierce-Chase, a woman that Seibert refers to as ""truly dedicated""",,,,
Florence Barbara Seibert,,,,,,,,,,,,,,"Ruth Kundsin, Peter Bent Brigham Hospital, Boston. Corresponds with Seibert, who asks Kundsin to collaborate with her on the work to find ""bugs"" in cancer cells. Kundsin declines because she feels she has too much work going on.",,,,
Florence Barbara Seibert,,,,,,,,,,,,,,"Eva Soto Figueroa Leake, from Mexico. Went to Institute Politecnico Nacional in Mexico and became a doctor. She married T. Keith Leake in 1963 and then worked at Wake Forest College in NC. She made the electron micrographs in the book by Weiser, Myrvik and Pearsall (pp 314-317) which she sent to Seibert as a gift. Series I, Box 4. ",,,,
Florence Barbara Seibert,,,,,,,,,,,,,,"Eugenia Cardona Lynch - worked with Seibert in the Phipps Lab, recommended Eva Soto Leake for work in Phipps. Sadly, Dr. Cardona Lynch died September 25, 1951, putting Eva Leake's plans to study at Phipps in doubt. ",,,,
Florence Barbara Seibert,,,,,,,,,,,,,,"Mary C. Pangborn, senior biochemist department of health in Albany (1946). Series I, Box5",,,,
Florence Barbara Seibert,,,,,,,,,,,,,,"Teresina Patino, from Panama City, studies with Seibert at Phipps. She later is at the Gorgas Memorial Institute of Tropical and Preventitive Medicine and her married name is de Pinzon. Series I, Box 6",,,,
Florence Barbara Seibert,,,,,,,,,,,,,,"Mary L. Petermann, department of chemistry, University of Wisconsin, in mid-1940s, though, moves on to be a physician at Memorial Hospital. Series I, Box 6",,,,
Florence Barbara Seibert,,,,,,,,,,,,,,"Margaret Pittman, Department of Healt, Education and Welfare, Public Health Service in 1964. Series 1, Box 6",,,,
Florence Barbara Seibert,,,,,,,,,,,,,,"Janet McCarter - Seibert writes to Sabin that her work is good. ""Her part in the work done at Wisconsin has been mainl in the biological side."" She has worked with the National Tuberculosis Association. Seibert says of Dr. Williams, McCarter's supervisor, ""As a matter of fact, Dr. williams was not conscious until lately that he was responsible for testing some of my products, which always passed thru her hands."" ",,,,
Barbara McClintock,06/16/1902,"Hartford, CT",09/02/1992,,Cornell University College of Agriculture,,"Lester Sharp, Cornell cytology professor",American Academy of Arts & Sciences,,Award of Merit from Botanical Society of America (1957),,William L. Brown,"Dr. Brenda Lowe - McClintock writes a LOR for the Plant Gene Expression Center in Albany, California saying that ""her experiments are sharpy conceived and meticulously conducted."" Series I, Box 3.","Mrs Buchanan - in 1969 McClintock seems worried that the Carnegie Instittue will no longer support her project, which seems related to drosophila. In 1970 a drosophila project is under a Mrs Pope. ","A picture in series IV dated October 1982 shows McClintock sitting around with other women: Suzan Cairns, Kathryn Lionetti, Deborah Mahoney, Carolyn Muckerman, Lisa Davis.",,,
Barbara McClintock,,,,,University of Missouri at Columbia,,,American Association for the Advancement of Science,,Kimber Genetics Award from National Academy of Science (1967),,Almiro Blumenschein,Lucille Shapiro - writes a LOR for Stanford University Medical Center. Writes very positively.,"Maxine F. Singer, as president of Carnegie. Series I, Box 4",,,,
Barbara McClintock,,,,,Cold Spring Harbor,,,American Institute of Biological Sciences,,National Medal of Science (1970),,Benjamin Burr,"Virginia Walbot - writes a tepid LOR for her promotion at Washington University, St. Louis stating that she doesn't know her very well, only knows a bit about her teaching, but that her teaching is very good. ","Nina V. Fedoroff, department of embryology at Carnegie. Seems the two of them collaborated. Series I, Box 2.",,,,
Barbara McClintock,,,,,Carnegie Institute of Washington at Cold Spring Harbor,,,American Philosophical Society,,Louis and Bert Freedman Foundation Award for Research in Biochemistry (1978),,"T. Angel Kato Yamakake, UNC, Raleigh and Escuela Nacional de Agricultura, Mexico - sometimes just signs as ""Angel Kato""",Evelyn Witkin - McClintock writes a LOR for her for the Wolf Prize in Medicine ,"Vicki L. Chandler, Institute of Molecular Biology, University of Oregon, 1989, reviewing a paper for the journal PNAS, which Barbara seems to be editor of? Vicki L. Chandler folder, Series I, Box 2.",,,,
Barbara McClintock,,,,,,,,American Society of Naturalists,,John D. and Catherine T. MacArthur Foundation Award for Research in Biochemistry (1978),,"Joshua Lederberg, University of Wisconsin, Madison, correspond a lot during 1948",,"Wilma Hu, North Carolina State University, Raleigh. Writes in 1968 that she's working on chromosomes. Series 1, Box 3.",,,,
Barbara McClintock,,,,,,,,Botanical Society of America,,Lewis S. Rosentiel Award (1978),,"Oliver E. Nelson, Jr. 1961-1990",,"Nancy Kleckner, Biochemical Lab, Harvard - she reviews an article submission for PNAS journal. Series I, Box 3.",,,,
Barbara McClintock,,,,,,,,Genetics Society of America,,Albert Lasker Basic Medical Research Award (1981),,"Kenneth Paigen, 1966-1979",,"Anita Klein - a postdoc working with Oliver Nelson at UW-Madison in 1982. Writes that she is undertaking the Bronze project at that time. In 1985 she joins the University of New Hampshire Department of biochemistry. Says that Nina Federoff is coming to the campus to visit the Genetics program. Seems these women worked together. Series I, Box 3 ""Jerry L. Kermicle"" folder and ""Anita Klein"" folder. ",,,,
Barbara McClintock,,,,,,,,National Academy of Science (3rd woman ever elected),,Wolf Foundation Award (1981),,"Peter A. Peterson, 1971-1984",,"Lovie Taylor - a student of Virginia Walbot, in 1984 is writing a paper on ""transposable element-induced deletions"" according to Anita Klein. Presumably Taylor is also at US-Madison - mentioned in Virginia Walbot letters, Series I, Box 7",,,,
Barbara McClintock,,,,,,,,National Women's Hall of Fame,,"Louisa Gross Horwitz Prize (1982), Columbia University, $11,000",,"Marcus M. Rhoades, 1949-1982",,"Marcella McClure - University of California, Irvine Department of ecology and evolutionary biology - see copy. ",,,,
Barbara McClintock,,,,,,,,New York Academy of Sciences,,Charles Leopold Mayer Prize (1982),,"Peter Starlinger, 1975-1990",,"Maria Luisa Martinez - from the Rockefeller Foundation Mexico Office, Agricultural Sciences. Writes in spanish in 1960, Series I, Box 3",,,,
Barbara McClintock,,,,,,,,Royal Society of London,,"Nobel Prize in Physiology or Medicine (1983) - first woman to win an unshared Nobel Prize in that category, and 3rd woman to win an unshared Nobel Prize in Science. ",,James A. Shaprio has 3 folders of pictures of various scientific media - images of cells and ecoli,,"Christine Mitchell - worked at Cold Spring Harbor, and then at Yale. Working on the ""waxy gene."" writing to McClintock to ask for ""homozygous wx-m404 stock."" I believe this is in 1986. Series I, Box 3",,,,
Barbara McClintock,,,,,,,,Honorary Membership in Medical Women's International Association,,Honorary degree from Georgetown University,,,,"Evelyn Witkin - appointed to the Barbara McClintock Professorship of Genetics at Rutgers University. Witkin was the first with that title.  Series I, Box 7",,,,
Barbara McClintock,,,,,,,,Honorary Membership in Swedish association Naturvetenskapliga Foreningen (The Society of Natural Sciences),,Honorary degree from Harvard University,,,,"Lucille Shapiro - BA 1962 Brooklyn College; PhD 1966 Albert Einstein College of Medicine, Series I, Box 6",,,,
Barbara McClintock,,,,,,,,"Honorary Membership in Society for Developmental Biology, Inc",,Honorary degree from University of Cambridge,,,,"Nancy Shepherd - DuPont Company - central research and development department experimental station. She seemed to also work with Jennifer Sorrentino at Du Pont. Series I, Box 6",,,,
Barbara McClintock,,,,,,,,,,Honorary degree from Yale University,,,,"Susan R. Wessler, Associate Professor, Department of Botany, The University of Georgia in 1990, Series I, Box 7",,,,
Barbara McClintock,,,,,,,,,,"Honorary degree from Bard College, 1983",,,,,,,,
Barbara McClintock,,,,,,,,,,"Honorary degree from Gembloux Agricultural College, Belgium",,,,,,,,
Barbara McClintock,,,,,,,,,,Honorary degree from New York University ,,,,,,,,
Barbara McClintock,,,,,,,,,,Honorary degree from SUNY Stony Brook,,,,,,,,
