person A,id A,person B,id B,connection,collection item,date,notes,original data,,,connections list,,color codes
Florence Rena Sabin,,Charles H. Bunting,,corresponded with|requested reprints,Box 3,1919-1926,,"Univeristy of Wisconsin, Madison department of pathology",,,,,
Florence Rena Sabin,,Bruce K. Wiseman,,published with,,"1930, 1931",,,,,,,
Florence Rena Sabin,,J. T. Geiger,,corresponded with|published with,,,,,,,,,
Florence Rena Sabin,,James R. Cash,,corresponded with,Box 3,1928-1935,,"Cash has an appointment at Peiping Union Medical College in China and then at the University of Virginia, department of pathology",,,,,
Florence Rena Sabin,,Margaret Clay Ferguson,,women appearing in letters,Box 28,1920,,"Ferguson applied to the Naples Table Association for $500 for her research. Her application came after the executive committee met, though, and so she doesn't seem to receive the grant. She earned a PhD from Cornell University in 1901, became professor of botany at Wellesly and published on fungi, pine and petunias. ",,,,,
Florence Barbara Seibert,,Lewis Affronti,,Correspondence,,,,,,,,,
Florence Barbara Seibert,,Nina Choucroun,,Letter of Reccomendation,,,,,,,,,
Florence Barbara Seibert,,Hilda Pope Willett,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Floyd M. Feldmann,,Correspondence,,,,,,,,,
Florence Barbara Seibert,,Elizabeth Ehsleman Miller,,Letter of Reccomendation,,,,,,,,,
Florence Barbara Seibert,,Ellen Burtner Bevilacqua,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Jules Freund,,Correspondence,,,,,,,,,
Florence Barbara Seibert,,Teresina Patino,,Letter of Reccomendation,,,,,,,,,
Florence Barbara Seibert,,Ruth Breitwisser,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Luis M. Gonzales,,Correspondence,,,,,,,,,
Florence Barbara Seibert,,Gail L. Miller,,Letter of Reccomendation,,,,,,,,,
Florence Barbara Seibert,,Lydia Edwards,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Irene Diller,,Correspondence,,,,,,,,,
Florence Barbara Seibert,,Marion Fay,,Letter of Reccomendation,,,,,,,,,
Florence Barbara Seibert,,Charlotte C. Campbell,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Esmond R. Long,,Correspondence,,,,,,,,,
Florence Barbara Seibert,,Nina Choucroun,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Lafayette B. Mendel,,Correspondence,,,,,,,,,
Florence Barbara Seibert,,Phyllis Q. Edwards,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Carroll E. Palmer,,Correspondence,,,,,,,,,
Florence Barbara Seibert,,Emily Emmart,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Florence Rena Sabin,,Correspondence,,,,,,,,,
Florence Barbara Seibert,,Margaret Hotchkiss,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Arne Tiselius,,Correspondence,,,,,,,,,
Florence Barbara Seibert,,Angelina Fabrizio,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Dennis W. Watson,,Correspondence,,,,,,,,,
Florence Barbara Seibert,,Edith Lincoln,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,J. W. Williams,,Correspondence,,,,,,,,,
Florence Barbara Seibert,,Jessie L. King,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Ruth E Gordon,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Dorothy H. Heilman,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Gladys Hobby,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Rosette Coidan,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Henrietta Lacks,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Virginia Livingston,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Oksana Lycakowakuj,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Chinyere Wogu,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Lucia J. Dunham,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Elizabeth Ehsleman Miller,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Libbie H. Hyman,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Cynthia Pierce-Chase,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Ruth Kundsin,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Eva Soto Figueroa Leake,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Eugenia Cardona Lynch,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Mary C. Pangborn,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Teresina Patino,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Mary L. Petermann,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Margaret Pittman,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Janet McCarter,,Women appearing in letters,,,,,,,,,
Barbara McClintock,,William L. Brown,,Correspondence,,,,,,,,,
Barbara McClintock,,Brenda Lowe,,Letter of Reccomendation,,,,,,,,,
Barbara McClintock,,Mrs Buchanan,,Women appearing in letters,,,,,,,,,
Barbara McClintock,,Almiro Blumenschein,,Correspondence,,,,,,,,,
Barbara McClintock,,Lucille Shapiro,,Letter of Reccomendation,,,,,,,,,
Barbara McClintock,,Maxine F. Singer,,Women appearing in letters,,,,,,,,,
Barbara McClintock,,Benjamin Burr,,Correspondence,,,,,,,,,
Barbara McClintock,,Virginia Walbot,,Letter of Reccomendation,,,,,,,,,
Barbara McClintock,,Nina V. Fedoroff,,Women appearing in letters,,,,,,,,,
Barbara McClintock,,T. Angel Kato Yamakake,,Correspondence,,,,,,,,,
Barbara McClintock,,Evelyn Witkin,,Letter of Reccomendation,,,,,,,,,
Barbara McClintock,,Vicki L. Chandler,,Women appearing in letters,,,,,,,,,
Barbara McClintock,,Joshua Lederberg,,Correspondence,,,,,,,,,
Barbara McClintock,,Wilma Hu,,Women appearing in letters,,,,,,,,,
Barbara McClintock,,Oliver E. Nelson,,Correspondence,,,,,,,,,
Barbara McClintock,,Nancy Kleckner,,Women appearing in letters,,,,,,,,,
Barbara McClintock,,Kenneth Paigen,,Correspondence,,,,,,,,,
Barbara McClintock,,Anita Klein,,Women appearing in letters,,,,,,,,,
Barbara McClintock,,Peter A. Peterson,,Correspondence,,,,,,,,,
Barbara McClintock,,Lovie Taylor,,Women appearing in letters,,,,,,,,,
Barbara McClintock,,Marcus M. Rhoades,,Correspondence,,,,,,,,,
Barbara McClintock,,Marcella McClure,,Women appearing in letters,,,,,,,,,
Barbara McClintock,,Peter Starlinger,,Correspondence,,,,,,,,,
Barbara McClintock,,Maria Luisa Martinez,,Women appearing in letters,,,,,,,,,
Barbara McClintock,,James A. Shapiro,,Correspondence,,,,,,,,,
Barbara McClintock,,Christine Mitchell,,Women appearing in letters,,,,,,,,,
Barbara McClintock,,Evelyn Witkin,,Women appearing in letters,,,,,,,,,
Barbara McClintock,,Lucille Shapiro,,Women appearing in letters,,,,,,,,,
Barbara McClintock,,Nancy Shepherd,,Women appearing in letters,,,,,,,,,
Barbara McClintock,,Susan R. Wessler,,Women appearing in letters,,,,,,,,,
Florence Rena Sabin,,Franklin P. Mall,,Mentors,,,,,,,,,
Florence Barbara Seibert,,Jessie E. Minor,,Mentors,,,,,,,,,
Florence Barbara Seibert,,Esmond R. Long,,Mentors,,,,,,,,,
Florence Barbara Seibert,,Theodor Svedberg,,Mentors,,,,,,,,,
Florence Barbara Seibert,,H. Gideon Wells,,Mentors,,,,,,,,,
Barbara McClintock,,Lester Sharp,,Mentors,,,,,,,,,
Florence Rena Sabin,,Esmond R. Long,,corresponded with,,1925-1946,,"Esmond Long, department of pathology, University of Chicago ",,,,,
Florence Rena Sabin,,Janet Howell Clark,,corresponded with,1921-1939,,,"Dr. Janet Howell Clark, at Bryn Mawr, but also at the school of hygiene and public health, johns hopkins university, later at University of Rochester ",,,,,
Janet Howell Clark,,Dorothy Wiehl,,recommends ,,,,,,,,,
Florence Rena Sabin,,Alice Hamilton,,recommends ,,,,"recommends for the Agamede Medal,",,,,,
Florence Rena Sabin,,Nina Simmonds,,recommends ,,,,recommends for the Agamede Medal,,,,,
Florence Rena Sabin,,Albert Einstein,,corresponded with,,,,,,,,,
Albert Einstein,,Marietta Blau,,recommends ,,,,,,,,,
Albert Einstein,,Emmy Noether,,Women appearing in letters,,,,,,,,,
Esther Caukin Brannauer,,Lisa Meitner,,recommends,,,,,,,,,
Florence Rena Sabin,,Esther Caukin Brannauer,,Women appearing in letters,,,,,,,,,
Abraham Flexner,,Hertha Sponer,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Mrs Franklin N. Daskam,,corresponded with,,,,,,,,,
Mrs Franklin N. Daskam,,Marion Fay,,recommends,,,,,,,,,
Margaret Hotchkiss,,Angelina Fabrizio,,Women appearing in letters,,,,,,,,,
Irene Diller,,Rosette Coidan,,Women appearing in letters,,,,,,,,,
Irene Diller,,Henrietta Lacks,,Women appearing in letters,,,,,,,,,
Virginia Livingston,,Irene Diller,,Women appearing in letters,,,,,,,,,
Lucia J. Dunham,,Wilhelmina Dunning,,Women appearing in letters,,,,,,,,,
Lucia J. Dunham,,Thelma B. Dunn,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Wilhelmina Dunning,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Thelma B. Dunn,,Women appearing in letters,,,,,,,,,
Elizabeth Ehsleman Miller,,Eva Soto Figueroa Leake,,Women appearing in letters,,,,,,,,,
Elizabeth Ehsleman Miller,,Mabel V. Seibert,,Women appearing in letters,,,,,,,,,
Elizabeth Ehsleman Miller,,Mildred Meekins,,Women appearing in letters,,,,,,,,,
Elizabeth Ehsleman Miller,,Mamie Cameron,,Women appearing in letters,,,,,,,,,
Elizabeth Ehsleman Miller,,Ute Busemann,,Women appearing in letters,,,,,,,,,
Elizabeth Ehsleman Miller,,Lois Freay,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Mabel V. Seibert,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Lois Freay,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Mildred Meekins,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Mamie Cameron,,Women appearing in letters,,,,,,,,,
Florence Barbara Seibert,,Ute Busemann,,Women appearing in letters,,,,,,,,,
Eugenia Cardona Lynch,,Eva Soto Figueroa Leake,,recommends,,,,,,,,,
Florence Rena Sabin,,Claude E. Forkner,,corresponded with|published with,,1925-1939,,"six folders of correspondence, worked at Peiping Union Medical College",,,,,
Florence Rena Sabin,,Treat B. Johnson,,corresponded with,,1926-1931,,"two folder of correspondence. According to Wikipedia: ""He, together with R.D. Coghill, was the first to discover the existence of 5-Methylcytosine in nature, from tuberculinic acid, a nucleotide of Mycobacterium tuberculosis""",,,,,
Florence Rena Sabin,,Austin L. Joyner,,corresponded with|published with,,1931-1945 | 1938,,"two folders of correspondence, published the article: ""Cellular Reactions to Defatted Tubercle Bacilli and their products"" ",,,,,
Florence Rena Sabin,,Lawrence Edgar Hummel,,corresponded with|published with,,1935-1943,,,,,,,
Florence Rena Sabin,,Lawrence S. Kubie,,corresponded with|mentor,,1925-1944,,two folders of correspondence ,,,,,
Florence Rena Sabin,,George Richards Minot,,corresponded with,,1923-1936,,,,,,,
Florence Rena Sabin,,Gina Castelnuovo,,women appearing in letters,,1940,,"Louise Pearce shares a note with FRS that Castelnuovo is an Italian refugee looking for a position as she can't return to Italy because she is Jewish. Professor Veblen was working to help her, she was living with Professor and Mrs. Fermi. According to another source, she also had help from Niels Bohr (Jewish Responses to Persecution: 1938–1940, By Alexandra Garbarini, 55-56)",,,,,
Florence Rena Sabin,,George L. Streeter,,corresponded with|worked in lab with,, 1904-1906,,"Worked in the field of embryology. Studies under Mall, with Sabin, at JHU from 1904-1906. Six folders of correspondence",,,,,
Florence Rena Sabin,,Vivian Tappan,,corresponded with|recommended|mentor relationship,,1926-1940| 1926,,"Vivian Tappan was a student of Sabin's. Sabin recommended her for an internship. She was employed for a time at the Desert Sanitoirum of Southern Arizona, but then left in 1940.",,,,,
Florence Rena Sabin,,Helen Taussig,,corresponded with,,1925-1936,,Helen Taussig of the John Hopkins Hospital. FRS and Taussig worked together on the Johns Hopkins Women's Medical Alumane Association,,,,,
Florence Rena Sabin,,Robert M. Thomas,,corresponded with|recommended |requested reprints|published with,,1932-1939,,"Thomas was in the department of pathology at Yale. Prior to finding a position at Yale, FRS wrote to many friends to help Thomas find a position.",,,,,
Florence Rena Sabin,,Susan Souther,,recommends,"Box 22, ""Lillian Ray Titcomb"" folder",1929,,Lillian Ray Titcomb of UCLA (phyician for women) requests a recommendation for FRS for Souther to practice in a position for hte University or City Schools.,,,,,
Florence Rena Sabin,,Lewis H. Weed ,,corresponded with|worked in same institution as,Box 24,1924-1938|1915-1925,,five folders of correspondence,,,,,
Florence Rena Sabin,,Lillian Welsh,,corresponded with,,1924-1933,,"Welsh and Sherwood, who lived together until Welsh's death, operated a private practice in Baltimore. In 1894 Welsh joined Goucher college (Women's College of Baltimore) and worked there for 30 years.  Welsh helped with the Naples Table Association and corresponded with FRS and Elizabeth Clarke about the Naples Table. FRS spoke at Welsh's memorial.",,,,,
Florence Rena Sabin,,William Charles White,,corresponded with|used this person's scientific contributions,,1924-1945,,William Charles White was very involved in the National Tuberculosis Association. fourteen folders of correspondence. Employed at the US Public Health Services,,,,,
Florence Rena Sabin,,Bruce K. Wiseman,,corresponded with|published with,Box 25,1930-1939,,"Five folders of correspondence ""Bruce Kenneth Wiseman (1896-1960) received his BS from Indiana University in 1926. He earned his M.D. from Indiana University in 1928. After an internship at Indianapolis City Hospital (1928-1930) he went to the Rockefeller Institute for Medical Research in New York, where his association with Drs. Florence Sabin and Charles Doan began. At the request of Doan, Wiseman came to OSU in 1931. He was an associate professor of medicine and associate director of medical research (1931-1935); Associate professor of medicine (1935-1938); Professor of medicine (1938-1960); Chair of the Department of Medicine (1944-1960); chief of staff of OSU Hospitals (1948-1960). Along with his colleague Doan, Wiseman made significant contributions in the field of hematology.""  https://library.osu.edu/site/mhcb/2012/page/4/https://library.osu.edu/site/mhcb/2012/page/4/https://library.osu.edu/site/mhcb/2012/page/4/",,,,,
Florence Rena Sabin,,Elsie S. L'Esprence,,corresponded with,,1929-1937,,L'Esprence's research focused on how to prevent cancer. She became professor of pathology at Cornell,,,,,
Mildred Cohn,,Fran Adar,,recommends,"Box 1, Folder ""A"", letter addressed to ""head of research"" American Heart Association","July 2, 1976",,"received a PhD in physics in 1972, worked as a postdoc at unniversity of pennsylvania, biophysicist: https://www.horiba.com/int/women-in-science/a-scientist-first/",,,,,
Mildred Cohn,,Nancy Aiken,,corresponded with,,1992,,"September 1992, MC asks Aiken to consider working with her on a grant she just received",,,,,
Mildred Cohn,,Jenny Glusker,,Women appearing in letters,"Box 1, folder ""B"" dated July 7, 1893","July 7, 1893",,"Mildred Cohn says to ""Mrs. Batcheler"" ""I want to thank you for all the trouble you took to locate Dr. Blake's crystallographic data on 3-Phosphoglycerate kinase. My colleague Dr. Jenny Glusker Brought it back and I am sure it will be most helpful to me.""  Also, in the ""V"" folder dated June 1, 1981, Cohn recommends to Sara Vollmer that she ask Dr. Jenny Glusker for a position at the X-ray crystallography lab at the Institute for Cancer Research",,,,,
Mildred Cohn,,Betty Gaffney,,recommends,"Box 1, folder ""B"" ","August 6, 1981",,"Cohn recommends Gaffney for promotion at Johns Hopkins, letter addressed to Michael Beer.",,,,,
Mildred Cohn,,Hadassa Degani,,recommends|used this person's scientific contribution,"Box 1, folder ""B"" ","June 1, 1982",,"Cohn recommends Degani for promotion at the Weizmann Institute of Science, Israel. She also worked for 3-months in Israel and collabroated with Hadessa Degani and Michal Neeman. Multiple folders of Degani's publications are in Cohn's papers",,,,,
Mildred Cohn,,June Taylor,,recommends,"Box 1, folder ""B"" ","February 2, 1972",,"Cohn recommends Taylor for an opening at University of Minnesota College of Biological Sciences, Department of biochemistry, also at Brown, Dartmouth, University of Pennsylvania, University of Maryland. She accepts a post at University of Maryland. Taylor was Cohn's student.",,,,,
Mildred Cohn,,Paul D. Boyer,,corresponded with|used each other's research,,1952-2002,,"won the Nobel Prize in Chemistry, professor at UCLA",,,,,
Mildred Cohn,,Esther Breslow,,recommends,Box 2,"March 21, 1978",,Cohn recommends Breslow for full professor at Cornell's Department of Biochemistry ,,,,,
Mildred Cohn,,Britton Chance,,corresponded with,,1960-2002,,,,,,,
Mildred Cohn,,Hannelore Diefenbach,,mentor relationship|recommends|worked in lab with,,1965-1972|1976|1965-1972,,"Cohn hired Hannelore Diefenbach, from Germany, to work in her lab as a Research Laboratory Technician at University of Pennsylvania. Hannelore's notebooks from her time in the lab are in Cohn's papers.",,,,,
Mildred Cohn,,Sheila Cohen,,recommends,"Box 3, folder ""E""","March 15, 1979",,"Cohn recommends Cohen for a position at Wesleyan University in Connecticut, in a letter to Deborah Ehrenthal and Charla Reinganum (also of Wesleyan)",,,,,
Mildred Cohn,,Maria Erecinska,,recommends,,"June 19, 1973",,"Cohn recommends Erecinska for an ""Established Investigatorship"" at the American Heart Association. Says she has worked with her for 20 years since she was a postdoc and ""only the most exceptional postdoctoral fellows, a very small fraction of hte total in our department, are given faculty rank.""",,,,,
Mildred Cohn,,Barbara J. Garrison,,corresponded with,,1982,,"Very brief correspondence about a talk Cohn gave at Penn State for a ""women in chemistry"" symposium",,,,,
Mildred Cohn,,Deborah Dunaway-Mariano,,recommends|used this person's scientific contribution,"Box 3 - Folder ""G""",1983,,Cohn recommends Dunaway-Mariano as an Alfred P. Sloan Research Fellow. ,,,,,
Mildred Cohn,,Ann Ginsburg,,corresponded with,,1969-1972,,"Ginsburg was at the Laboratory of Biochemistry, National Heart Institute, sent Cohn her paper to read, Barbara Joyce was also involved in preparing the paper",,,,,
Mildred Cohn,,Marianne Grunberg-Manago,,corresponded with|published together|used each other's research,,1967-1998,,Seem to have had a very warm friendship and working relationship. Marianne was at Institut de Biologie Physico Chimique in Paris. Seems they also worked with Therese Godefroy and Helen,,,,,
Mildred Cohn,,Therese Godefroy,,corresponded with|published together|used each other's research,Box 4,1969|,,"Therese was friends with Hannelore, but also with Marianne and they worked together on research alongside Mildred",,,,,
Mildred Cohn,,Judith P. Klinman,,recommends|used this person's scientific contribution,"Box 4, also box 5 ""Klinman folder""",2001,,"Cohn nominated Klinman for the Weizmann Women & Science Award in 2001, she also nominated her for the ""Agnes Fay Morgan Research Award of Iota Sigma PI"" in 1978m and for promotion at the Institute for Cancer Research in 1977. Also has Klinman's articles in her papers.",,,,,
Mildred Cohn,,Eileen Jaffe,,recommends|worked in lab with|used this person's scientific contribution,,1978|1977-1978,,Cohn recommended Jaffe for promotion at the Fox Chase Cancer Center in 2004. Has many of her articles in her papers.,,,,,
Mildred Cohn,,Mary Ellen Jones,,recommends,,1972,,Cohn recommends Jones for the Carvan Award at the American Chemical Society. Jones goes on to teach medicine at UNC Chapel Hill ,,,,,
Mildred Cohn,,corresponded with|requested reprints,,recommends|worked in lab with,,1974| 1970-1974,,"Cohn recomments Kayne for membership in the American Society of Biological Chemists, as well as for Assistant Professor at University of Pennsylvania in 1975, and then for a molecular bioligist in 1977 at Colorado State University. Kayne worked with Cohn in her laboratory.",,,,,
Mildred Cohn,,Patricia Lo Presti,,recommends|worked in lab with|published together|used each other's research,,1992|1987-1989|1990,,Lo Presti's articles are in Cohn's papers,,,,,
Mildred Cohn,,Aviva Lapidot,,recommends,,1969,,Cohn recommends Lapidot for promotion at The Weizmann Institute of Science in Israel in 1969. In 1985 she recommends her again for promotion to full professor (but the decision was postponed) and in 1988 Cohn renews her recommendation,,,,,
Mildred Cohn,,Rita Levi-Montalcini,,corresponded with,,,,Levi-Montalcini and Cohn seemed to be friendly in 1964 aroun the time that Levi-Montalcini gave a talk at the Johnson Foundation. She is from Instituto Superiore di Sanita in Rome. ,,,,,
Mildred Cohn,,Martha L. Ludwig,,corresponded with|used each other's research,Box 6 ,1971,,Ludwig is at the University of Michigan Institute of Science and Technology,,,,,
Mildred Cohn,,Karin Norlen,,recommends|worked in lab with,,1974| 1973-1974,,Norlen worked as a research technician in Cohn's lab ,,,,,
Mildred Cohn,,Gerty T. Cori,,women appearing in letters|used this person's scientific contributions,"Box 7, ""Notable American Women"" folder","December 9, 1976",,"Cohn notes that Gerty Cori is ""the most outstanding"" woman chemist who died between 1951-1975. This is for a volume on Notable American Women by Barbara Sicherman. Cohn wrote and researched Cori and seems to view her as a model for female biochemists.",,,,,
Mildred Cohn,,Arda Green,,women appearing in letters,"Box 7, ""Notable American Women"" folder","December 10, 1976",,Cohn notes that Green was an additional outstanding woman chemist,,,,,
Mildred Cohn,,Ethel Ronzoni,,women appearing in letters,"Box 7, ""Notable American Women"" folder","December 11, 1976",,Cohn notes that Ronzonie was an additional outstanding woman chemist,,,,,
Mildred Cohn,,Mary Caldwell,,women appearing in letters,"Box 7, ""Notable American Women"" folder","December 12, 1976",,"Cohn says that Caldwell may not qualify as a bio chemist, but is an outstanding nutritional chemist ",,,,,
Mildred Cohn,,Mary Osbakken,,corresponded with|published together,,,,Osbakken resigns from UPA and goes to Bristol-Myers Squibb Company,,,,,
Mildred Cohn,,Linda S. Powers,,recommends,"Box 8 ""O"" folder",,,Cohn recommends Powers for inclusion in the American Society for Biological Chemists. Powers is also considered for Cohn's job at Penn when she retires.,,,,,
Mildred Cohn,,Jane H. Park,,recommends,Box 8  ,1968,,"Cohn recommends Park for the. Garvan Award at the American Chemical Society. It seems that Britton Chance, Janey Park and Mildred Cohn all collaborated on some work together",,,,,
Mildred Cohn,,Franca Podo,,corresponded with|used this person's scientific contributions,Box 8 ,1971-1984|1990-1998,,"Franca Podo worked at the Rockefeller Institute for a year, visited Cohn's lab, then returned to Italy. Cohn has Podo's articles in her papers.",,,,,
Mildred Cohn,,Sarah Ratner,,corresponded with,Box 8 ,1960-1970,,"Sarah Ratner - Public Health Research Institute of City of New York, Division of Nutrition and Physiology. Talked about writing an article together.",,,,,
Mildred Cohn,,Julie Scheffler,,recommends|mentor relationship|worked in lab with|used this person's scientific contribution,Box 9,1976-1988|????|1980-1985,,Julie Scheffler worked as a post-doc for Cohn from 1980-1982. ,,,,,
Mildred Cohn,,Maxine F. Singer,,corresponded with|used each other's research,Box 10,1961-2005,,Singer recommends Miss Judith Keyes to Cohn as a technician. In the 1960s they discuss results of their experiments and make plans to visit each other.,,,,,
Mildred Cohn,,Linda Tombras Smith,,worked in lab with|recommends,,1977-1979|1979,,"Smith worked with Cohn as a postdoc. Cohn recommended her to Cal State University Hayword, Monsanto, Washington University, Molecular Biology Institute, UC-Davis. She takes a job at UC-Davis. ",,,,,
Mildred Cohn,,Christine Zioudrou,,corresponded with,,1965-1968,,"Worked on NMR. Spent time at Michigan State University as well as the Nuclear Research Center ""Democritus"" in Greece",,,,,
Mildred Cohn,,Lizanne Bolinger,,used this person's scientific contribution,,,,"Cohn has Boilnger's ""Introduction to Spectroscopy"" in her materials",,,,,
Mildred Cohn,,Carol Caparelli,,corresponded with|used this person's scientific contribution,,1985-1987,,Cohn has an article from Caparelli in her materials,,,,,
Mildred Cohn,,Barbara Joyce,,used this person's scientific contribution,,,,Cohn has articles from Joyce in her papers,,,,,
Mildred Cohn,,Elizabeth Ehsleman Miller,,used this person's scientific contribution,,1967-1990,,"Cohn has Miller's articles in her papers, specifically ""Enhanced tumor response to cycle-specific chemotherapy by parenteral amino acid administration; Evaluation of the development of FUDR resistance in the mouse glioma by 31P spectroscopy.""",,,,,
Mildred Cohn,,Gloria Torralba,,used this person's scientific contribution,,1979-1982,,Cohn has articles from Torralba in her papers,,,,,
Rose Mooney Slater,,Ruth Rogan Benerito,,corresponded with|worked in same institution as,,1954-1976,,"Benerito was a chemist and worked on the chemistry of fabrics, especially cotton. Benerito and Slater corresponded often and were friends. She received a B.S. in chemistry from Newcomb College, graduate work at Bryn Mawr, M.S. from Tulane, Ph.D. in chemistry from University of Chicago. She also won the Garvvan Award from the American Chemical Society.",,,,,
Isidor Fankuchen,,Rose Mooney Slater,,corresponded with|mentor relationship,,,,Fankuchen mentored RMS. He was a well-known crystollographer and connected British and US-based approaches to crystollography. He sent RMS a congratulation letter when she married John.,,,,,
Rose Mooney Slater,,Will Zachariason,,mentor relationship ,,,,RMS worked under Zachariason at the University of Chicago,,,,,
Rose Mooney Slater,,Natasha Goldowski Renner,,corresponded with,,1945,,"Natasha, born Nathalie in Russia, Goldowski wrote to RMS in 1945 asking if she knew of any positions in science for teaching. In 1947 she lost her secuirty clearance due tot he Red Scare. Goldowski worked on the Manhattan Project, taught at an experimental college, Black Mountain College, and then",,,,,
Rose Mooney Slater,,Elizabeth Hirschfelder,,corresponded with,,1970-1981,,RMS corresponded with both Elizabeth and Joseph Hirschfelder about topics related to their personal lives and profesisonal interests. ,,,,,
Rose Mooney Slater,,Margaret Herrmann Kurbatov,,corresponded with,,1935-1981,,"It seems RMS was possibly Ivan's professor? Or at least he called her professor. Margaret (Peg) and RMS are very friendly and share lists of chemicals in each other's labs. Margaret worked for the Ohio State University as a research technician, but also taught, one letter listing very large lectures.",,,,,
Anna E. Many,,Rose Mooney Slater,,mentor relationship|corresponded with,,1926-1936|1954,,Anna Many was a dean at Newcomb College where RMS did her undergrad. Many was a mathemitician and dean of students. Many was a member of the AAUW.,,,,,
Rose Mooney Slater,,Dorothy K. Daspit,,corresponded with|worked in same institution as,,1950-1953,Newcomb College Folder,"Dorothy K. Daspit was Assistant Professor of Physics at Newcomb College and worked with RMS. There are letters to ""Dot"" in ""Newcomb College"" folder. I believe these are to Dorothy.",,,,,
Rose Mooney Slater,,Anne H. Plettinger,,corresponded with|used each others research,,1943-1976|,,"Anne Plettinger worked with Zachariason, and then at Argonne National Laboratories. Anne and Rose were very good friends and colleagues - they talked about personal moments, professional accomplishments and were very dear to each other. ",,,,,
Rose Mooney Slater,,Nancy E. Ragaini,,corresponded with|worked in lab with,,,,"Nancy ran RMS's lab at MIT in 1964-65 and reported to RMS on the growth of crystals and status of lab, also sent imaging samples.",,,,,
Rose Mooney Slater,,Mary E. Mrose,,requested reprints,,1962,,Mary Mrose requested reprints that appeared in Acta Crystollography. Mrose was with the US Geological Survey and interested in crystallography. https://www.iucr.org/news/newsletter/volume-11/number-2/mrose-1912-2003,,,,,
Rose Mooney Slater,,Joan R. Clark,,requested reprints,,1962,,"Clark was at School of Chemistry, University of Sydney, also seemed friendly.",,,,,
Rose Mooney Slater,,Agnes Saunders Riley,,recommended|corresponded with,,1971|1969-1977,,Agnes was a colleague of RMS at Newcomb. She taught chemistry. RMS recommended her for admission to Phi Beta Kappa. ,,,,,
Rose Mooney Slater,,Jenny Glusker,,corresponded with|used each other's research,,,,Glusker and Dan McLachlan were co-editors on a volume on crystallography in North America and Rose Mooney Slater was invited to submit something to the volume in 1980. ,,,,,
Rose Mooney Slater,,Marcella O'Grady Boveri,,women appearing in letters|corresponded with,,,,"Boveri held the Naples Table in 1912. There's also a letter from her stating: A letter from Marcella Boveri (holds the Naples Table in 1912) from Stuttgart and Wurzburg. Saying ""Even if I return to teach here, I shall always go over for vacation from June to Sept.""",,,,,
